# Resum Activitats :	0/0
# Activitat  :			ReunioPerl

Espai:   Sala1   Dia:   L - 3/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 4/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 6/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 10/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 11/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 13/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 17/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 18/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 20/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 24/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 25/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 27/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl

--------> Total: -5 / 6 h assignades. (No Assignades:  11  horas)

# Resum Activitats :	0/0
# Activitat  :			ReunioJava

Espai:   Sala1   Dia:   L - 3/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 3/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 4/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 4/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 4/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 6/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 6/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 6/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 10/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 10/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 10/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 11/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 11/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 11/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 13/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 13/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 13/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 17/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 17/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 17/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 18/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 18/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 18/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 20/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 20/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 20/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 24/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 24/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   L - 24/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 25/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 25/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   M - 25/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 27/0/0	   Hora:   13-14 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 27/0/0	   Hora:   14-15 	Conflicte con: 	ReunioPerl
Espai:   Sala1   Dia:   J - 27/0/0	   Hora:   17-18 	Conflicte con: 	ReunioPerl

--------> Total: 9 / 45 h assignades. (No Assignades:  36  horas)
